[2016-10-02 11:32:41.200] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市镇康县军弄乡哈里完小, 2]
[2016-10-02 11:32:41.200] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市镇康县军弄乡麻力平村, 1]
[2016-10-02 11:32:41.201] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市镇康县军赛乡, 1]
[2016-10-02 11:32:41.201] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市镇康县勐堆乡茶叶林藻塘坝村, 1]
[2016-10-02 11:32:41.202] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市镇康县勐堆乡麻力林村下队, 1]
[2016-10-02 11:32:41.202] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市镇康县勐捧镇, 1]
[2016-10-02 11:32:41.202] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市镇康县勐捧镇四楞坝水库开发区, 1]
[2016-10-02 11:32:41.203] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省临沧市镇康县勐捧镇营盘寨, 1]
[2016-10-02 11:32:41.203] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省丽江市永胜县程海镇芮家村, 1]
[2016-10-02 11:32:41.203] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县不详乡镇, 1]
[2016-10-02 11:32:41.204] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县仁和乡, 1]
[2016-10-02 11:32:41.205] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县仁和乡仁和村, 1]
[2016-10-02 11:32:41.205] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县仁和乡勒平二社, 1]
[2016-10-02 11:32:41.205] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县仁和乡勒平村下马村一社, 1]
[2016-10-02 11:32:41.206] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县保场乡, 1]
[2016-10-02 11:32:41.206] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县保场乡五候村一社, 1]
[2016-10-02 11:32:41.207] -- [TRACE] -- [main >>>> BaseJdbcLogger.java:151 >>>> Method = trace] -- [Content = <==        Row: 云南省保山市施甸县保场乡杨家1社, 1]
